obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
"=""359.811""","=""""","=""620""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""360.183""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""361.657""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""361.943""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""364.033""","=""""","=""450""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""365.449""","=""""","=""230""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""365.690""","=""""","=""330""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""366.631""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""367.089""","=""""","=""480""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""367.545""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""368.906""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""370.325""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""370.656""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""370.914""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""371.373""","=""""","=""230""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""371.952""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""372.013""","=""""","=""230""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""374.647""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""375.252""","=""""","=""3700""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""375.712""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""376.630""","=""""","=""130""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""376.814""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""377.440""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""377.462""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""377.625""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""377.699""","=""""","=""290""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""378.220""","=""""","=""2100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""379.014""","=""""","=""620""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""379.073""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""379.391""","=""""","=""370""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""383.606""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""384.030""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""384.129""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""384.994""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""385.709""","=""""","=""230""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""386.547""","=""""","=""230""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""387.677""","=""""","=""730""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""388.186""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""390.039""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""390.171""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""393.000""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""393.859""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""394.978""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""396.102""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""396.363""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""396.496""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""396.967""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""397.544""","=""""","=""110w""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""397.723""","=""""","=""730""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""398.818""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""400.348""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""400.402""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""400.516""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""401.826""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""403.784""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""404.192""","=""""","=""280""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""404.805""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""406.669""","=""""","=""960""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""407.086""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""407.156""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""407.468""","=""""","=""230""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""409.182""","=""""","=""490""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""410.030""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""411.202""","=""""","=""1200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""412.460""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""412.896""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""413.578""","=""""","=""2500""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""413.784""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""417.257""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""417.323""","=""""","=""1200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""417.563""","=""""","=""620""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""418.413""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""418.991""","=""""","=""320""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""420.145""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""420.206""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""421.186""","=""""","=""1200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""421.386""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""421.516""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""423.346""","=""""","=""170""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""426.085""","=""""","=""4900""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""426.475""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""426.961""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""428.590""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""429.395""","=""""","=""560""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""431.140""","=""""","=""560""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""432.625""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""432.868""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""433.875""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""435.153""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""436.567""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""437.066""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""439.486""","=""""","=""520""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""439.726""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""440.274""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""442.047""","=""""","=""4900""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""443.241""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""443.632""","=""""","=""290""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""443.964""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""444.735""","=""""","=""230""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""448.476""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""454.866""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""455.041""","=""""","=""540""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""455.130""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""461.678""","=""""","=""170""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""463.183""","=""""","=""170""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""466.382""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""479.399""","=""""","=""670""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""486.560""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""503.183""","=""""","=""55""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""503.912""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""507.288""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""507.477""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""507.909""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""510.350""","=""""","=""90""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""511.081""","=""""","=""55""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""512.223""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""514.554""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""514.974""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""515.201""","=""""","=""28""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""516.898""","=""""","=""28""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""519.352""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""520.263""","=""""","=""270""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""520.323""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""525.582""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""526.515""","=""""","=""55""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""528.389""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""529.565""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""529.878""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""530.258""","=""""","=""13""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""533.623""","=""""","=""18""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""534.603""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""535.225""","=""""","=""13""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""537.679""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""540.343""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""541.214""","=""""","=""13""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""541.634""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""541.669""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""541.751""","=""""","=""28""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""544.182""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""544.331""","=""""","=""55""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""544.693""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""544.776""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""544.937""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""545.340""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""545.730""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""547.000""","=""""","=""28""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""547.458""","=""""","=""13""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""547.513""","=""""","=""13""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""547.727""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""548.185""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""550.933""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""551.601""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""552.353""","=""""","=""270""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""554.682""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""554.979""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""555.288""","=""""","=""13""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""556.062""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""558.066""","=""""","=""16""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""558.444""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""560.050""","=""""","=""8""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""562.008""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""563.741""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""564.256""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""564.525""","=""""","=""28""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""564.898""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""566.021""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""567.438""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""568.088""","=""""","=""28""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""570.937""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""572.193""","=""""","=""170""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""573.789""","=""""","=""8""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""573.972""","=""""","=""8""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""576.505""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""578.082""","=""""","=""170""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""580.060""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""584.249""","=""""","=""8""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""585.776""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""586.064""","=""""","=""28""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""588.292""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""590.398""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""590.684""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""590.895""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""598.136""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""598.322""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""599.600""","=""""","=""65""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""601.579""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""605.463""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""614.453""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""615.803""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""622.770""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""624.170""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""626.941""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""627.494""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""628.683""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""639.886""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""640.315""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""644.813""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""652.085""","=""""","=""6""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""652.887""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""653.314""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""653.830""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""657.683""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""661.456""","=""""","=""8""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""661.543""","=""""","=""4""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""666.181""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""672.956""","=""""","=""27""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""679.153""","=""""","=""18""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""680.661""","=""""","=""14""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""687.870""","=""""","=""5""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""690.158""","=""""","=""4""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""695.602""","=""""","=""11""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""698.495""","=""""","=""6""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""706.067""","=""""","=""15""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""714.554""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""714.989""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""718.410""","=""""","=""4""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""720.633""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""720.996""","=""""","=""5""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""725.116""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""725.349""","=""""","=""6""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""737.507""","=""""","=""6""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""740.795""","=""""","=""9""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""760.295""","=""""","=""26""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""770.146""","=""""","=""4""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""778.996""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""785.217""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""798.120""","=""""","=""6""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""804.129""","=""""","=""7""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
